"Series Key",ELEC.PRICE.TX-ALL.M,"Series Key",ELEC.PRICE.TX-RES.M,"Series Key",ELEC.PRICE.TX-COM.M,"Series Key",ELEC.PRICE.TX-IND.M
202112,8.51,202112,12.56,202112,7.98,202112,5.48
202111,8.86,202111,12.78,202111,8.37,202111,6.06
202110,8.9,202110,12.54,202110,8.08,202110,6.1
202109,9.11,202109,12.26,202109,8.09,202109,5.97
202108,8.99,202108,11.94,202108,7.98,202108,5.81
202107,8.62,202107,11.73,202107,7.97,202107,5.13
202106,8.53,202106,12.04,202106,7.52,202106,5.23
202105,8.35,202105,12.09,202105,8.46,202105,4.54
202104,9.48,202104,12.08,202104,10.4,202104,6.2
202103,10.44,202103,11.7,202103,10.58,202103,8.52
202102,12.58,202102,12.69,202102,13.68,202102,11.25
202101,8.15,202101,11.35,202101,7.47,202101,4.94
202012,8.03,202012,11.59,202012,7.53,202012,4.79
202011,8.07,202011,11.93,202011,7.8,202011,4.86
202010,8.17,202010,11.85,202010,7.47,202010,5.08
202009,8.68,202009,11.77,202009,7.8,202009,5.1
202008,8.75,202008,11.5,202008,7.64,202008,5.41
202007,8.62,202007,11.59,202007,7.35,202007,5.1
202006,8.58,202006,11.76,202006,7.56,202006,5.02
202005,8.33,202005,11.79,202005,7.57,202005,4.94
202004,8.23,202004,12.04,202004,7.67,202004,5.02
202003,8.17,202003,11.81,202003,7.71,202003,5.2
202002,8.33,202002,11.72,202002,7.73,202002,5.26
202001,8.11,202001,11.46,202001,7.43,202001,5.05
201912,8.28,201912,11.71,201912,7.98,201912,5.02
201911,8.52,201911,11.99,201911,8.14,201911,5.58
201910,8.66,201910,11.81,201910,8.06,201910,5.55
201909,9.09,201909,11.81,201909,8.42,201909,5.8
201908,9.45,201908,11.76,201908,8.33,201908,7.26
201907,8.65,201907,11.71,201907,7.82,201907,5.26
201906,8.47,201906,11.8,201906,7.88,201906,5.01
201905,8.29,201905,12.01,201905,7.85,201905,5.14
201904,8.16,201904,12,201904,8.09,201904,5.03
201903,8.34,201903,11.6,201903,8.07,201903,5.27
201902,8.34,201902,11.6,201902,8.03,201902,5.07
201901,8.37,201901,11.44,201901,7.93,201901,5.14
201812,8.03,201812,11,201812,7.74,201812,4.97
201811,8.35,201811,11.6,201811,8.27,201811,5.3
201810,8.36,201810,11.5,201810,8,201810,5.26
201809,8.58,201809,11.39,201809,8.03,201809,5.19
201808,8.82,201808,11.27,201808,8.24,201808,5.62
201807,8.82,201807,11.09,201807,8.08,201807,6.05
201806,8.77,201806,11.2,201806,8.21,201806,5.75
201805,8.38,201805,11.36,201805,8.2,201805,5.43
201804,8.13,201804,11.39,201804,8.2,201804,5.07
201803,8.23,201803,11.35,201803,8.36,201803,5.11
201802,8.46,201802,10.87,201802,8.55,201802,5.31
201801,8.49,201801,10.63,201801,8.15,201801,5.5
201712,8.07,201712,10.89,201712,8.08,201712,5.12
201711,8.17,201711,11.23,201711,8.31,201711,5.17
201710,8.35,201710,11.09,201710,8.14,201710,5.32
201709,8.57,201709,11.12,201709,8.16,201709,5.43
201708,8.6,201708,10.95,201708,8.17,201708,5.39
201707,8.62,201707,10.87,201707,8.24,201707,5.52
201706,8.55,201706,11.03,201706,8.37,201706,5.43
201705,8.33,201705,11.05,201705,8.27,201705,5.53
201704,8.25,201704,11.09,201704,8.3,201704,5.43
201703,8.14,201703,11.12,201703,8.32,201703,5.25
201702,8.33,201702,11.16,201702,8.48,201702,5.3
201701,8.32,201701,10.74,201701,8.32,201701,5.34
201612,8.23,201612,10.85,201612,8.21,201612,5.31
201611,8.25,201611,11.1,201611,8.23,201611,5.38
201610,8.42,201610,11.02,201610,8.35,201610,5.34
201609,8.7,201609,11.11,201609,8.23,201609,5.52
201608,8.65,201608,10.91,201608,8.12,201608,5.45
201607,8.65,201607,10.83,201607,8.13,201607,5.47
201606,8.54,201606,10.95,201606,8.3,201606,5.4
201605,8.26,201605,11.1,201605,8.26,201605,5.21
201604,8.13,201604,11.26,201604,8.22,201604,5.12
201603,8.23,201603,11.19,201603,8.38,201603,5.23
201602,8.36,201602,10.99,201602,8.4,201602,5.21
201601,8.38,201601,10.88,201601,8.32,201601,5.25
201512,8.22,201512,11.19,201512,7.89,201512,5.29
201511,8.13,201511,11.38,201511,7.95,201511,5.23
201510,8.35,201510,11.35,201510,7.92,201510,5.32
201509,8.8,201509,11.51,201509,8.11,201509,5.53
201508,8.98,201508,11.43,201508,8.12,201508,5.81
201507,8.9,201507,11.5,201507,8.07,201507,5.71
201506,8.84,201506,11.78,201506,8.26,201506,5.6
201505,8.63,201505,12.04,201505,8.21,201505,5.56
201504,8.46,201504,12.1,201504,7.98,201504,5.54
201503,8.85,201503,11.56,201503,8.49,201503,5.79
201502,8.94,201502,11.62,201502,8.5,201502,5.84
201501,9.01,201501,11.49,201501,8.4,201501,5.93
201412,8.81,201412,11.81,201412,8.03,201412,6.25
201411,8.75,201411,11.98,201411,8.28,201411,6.04
201410,8.95,201410,12.07,201410,8.16,201410,6.29
201409,9.16,201409,12.03,201409,8.04,201409,6.28
201408,9.28,201408,12.05,201408,8.16,201408,6.38
201407,9.33,201407,12.05,201407,8.24,201407,6.53
201406,9.2,201406,12.17,201406,8.26,201406,6.34
201405,8.55,201405,11.93,201405,8.17,201405,5.73
201404,8.55,201404,12.06,201404,8.21,201404,5.86
201403,8.79,201403,11.75,201403,8.35,201403,6.08
201402,8.85,201402,11.25,201402,8.04,201402,6.35
201401,8.75,201401,11.22,201401,8.02,201401,5.83
201312,8.67,201312,11.27,201312,8,201312,5.79
201311,8.39,201311,11.67,201311,7.9,201311,5.64
201310,8.63,201310,11.68,201310,8,201310,5.74
201309,8.81,201309,11.36,201309,7.84,201309,6.03
201308,9,201308,11.45,201308,7.98,201308,6.14
201307,9.01,201307,11.41,201307,8.06,201307,6.14
201306,8.89,201306,11.44,201306,8.09,201306,6.05
201305,8.59,201305,11.57,201305,8.19,201305,5.8
201304,8.38,201304,11.43,201304,8.06,201304,5.65
201303,8.31,201303,11.03,201303,8.07,201303,5.52
201302,8.39,201302,11.05,201302,8.03,201302,5.59
201301,8.45,201301,10.84,201301,8.02,201301,5.45
201212,8.38,201212,10.99,201212,7.97,201212,5.54
201211,8.27,201211,11.11,201211,7.96,201211,5.49
201210,8.43,201210,11.16,201210,8.06,201210,5.51
201209,8.78,201209,11.11,201209,8.14,201209,5.71
201208,8.87,201208,10.96,201208,8.15,201208,5.9
201207,8.78,201207,10.87,201207,8.08,201207,5.87
201206,8.71,201206,10.97,201206,8.15,201206,5.6
201205,8.35,201205,10.84,201205,8.09,201205,5.37
201204,8.26,201204,11.02,201204,8.18,201204,5.23
201203,8.31,201203,11.01,201203,8.27,201203,5.41
201202,8.59,201202,11.05,201202,8.51,201202,5.58
201201,8.56,201201,10.77,201201,8.41,201201,5.58
201112,8.61,201112,10.89,201112,8.49,201112,5.82
201111,8.58,201111,11.19,201111,8.62,201111,5.94
201110,8.74,201110,11.23,201110,8.6,201110,5.96
201109,9.34,201109,11.16,201109,9.03,201109,6.69
201108,9.62,201108,11.15,201108,9.14,201108,7.27
201107,9.34,201107,11.16,201107,8.84,201107,6.47
201106,9.28,201106,11.25,201106,8.95,201106,6.44
201105,8.83,201105,11.27,201105,8.8,201105,6
201104,8.59,201104,11.16,201104,8.68,201104,5.87
201103,8.75,201103,11.13,201103,8.92,201103,6.08
201102,8.94,201102,10.65,201102,8.93,201102,6.3
201101,8.7,201101,10.7,201101,8.69,201101,5.81
201012,9.02,201012,11.25,201012,8.92,201012,6.32
201011,8.66,201011,11.32,201011,8.75,201011,6.07
201010,9.15,201010,11.62,201010,9.06,201010,6.43
201009,9.35,201009,11.58,201009,9.12,201009,6.19
201008,9.63,201008,11.7,201008,9.15,201008,6.68
201007,9.53,201007,11.71,201007,9.05,201007,6.54
201006,9.57,201006,11.85,201006,9.21,201006,6.48
201005,9.3,201005,11.94,201005,9.25,201005,6.4
201004,9.34,201004,12.12,201004,9.41,201004,6.48
201003,9.38,201003,11.51,201003,9.59,201003,6.56
201002,9.49,201002,11.34,201002,9.52,201002,6.68
201001,9.43,201001,11.21,201001,9.34,201001,6.41
200912,9.36,200912,11.52,200912,9.35,200912,6.59
200911,9.24,200911,12.08,200911,9.54,200911,6.24
200910,9.39,200910,11.97,200910,9.49,200910,6.32
200909,9.64,200909,12.05,200909,9.4,200909,6.37
200908,9.85,200908,12.15,200908,9.45,200908,6.37
200907,10.02,200907,12.38,200907,9.48,200907,6.23
200906,10.27,200906,12.66,200906,10.06,200906,6.74
200905,9.87,200905,12.84,200905,9.6,200905,6.53
200904,9.74,200904,12.88,200904,9.56,200904,7.06
200903,10.02,200903,12.93,200903,9.8,200903,7.25
200902,10.41,200902,12.84,200902,10.4,200902,7.47
200901,10.41,200901,12.6,200901,9.98,200901,7.84
200812,10.82,200812,13.08,200812,10.61,200812,8.25
200811,10.56,200811,13.28,200811,10.3,200811,8.15
200810,10.98,200810,13.53,200810,10.51,200810,8.8
200809,11.33,200809,13.51,200809,10.78,200809,8.93
200808,11.9,200808,13.84,200808,11.29,200808,9.54
200807,12.22,200807,14.06,200807,11.58,200807,10.15
200806,11.92,200806,13.43,200806,11.81,200806,9.9
200805,10.62,200805,12.94,200805,10.46,200805,8.64
200804,10.52,200804,12.53,200804,10.52,200804,8.73
200803,10.1,200803,11.97,200803,10.2,200803,8.18
200802,9.77,200802,11.35,200802,9.92,200802,7.78
200801,10.14,200801,11.65,200801,10.29,200801,7.99
200712,9.73,200712,11.75,200712,9.69,200712,7.69
200711,9.74,200711,12.03,200711,9.79,200711,7.66
200710,10.14,200710,12.42,200710,10,200710,7.75
200709,10.3,200709,12.44,200709,9.88,200709,7.76
200708,10.28,200708,12.4,200708,9.91,200708,7.69
200707,10.37,200707,12.51,200707,10.04,200707,7.78
200706,10.41,200706,12.73,200706,10.03,200706,8.03
200705,10.1,200705,12.62,200705,9.85,200705,7.87
200704,10.05,200704,12.56,200704,10.02,200704,7.88
200703,10.1,200703,12.46,200703,10.06,200703,7.85
200702,9.99,200702,11.97,200702,9.63,200702,7.78
200701,9.93,200701,12.08,200701,9.45,200701,7.77
200612,9.78,200612,11.91,200612,9.45,200612,7.75
200611,9.85,200611,12.52,200611,9.53,200611,7.69
200610,10.22,200610,13.18,200610,9.76,200610,7.55
200609,10.69,200609,13.25,200609,10.07,200609,7.71
200608,11.04,200608,13.35,200608,10.27,200608,8.16
200607,10.84,200607,13.31,200607,10.07,200607,7.84
200606,10.77,200606,13.41,200606,9.9,200606,7.97
200605,10.2,200605,12.98,200605,9.56,200605,7.75
200604,10.06,200604,12.72,200604,9.9,200604,7.66
200603,9.98,200603,12.42,200603,9.79,200603,7.82
200602,10.05,200602,12.12,200602,9.91,200602,8.06
200601,9.96,200601,11.91,200601,9.83,200601,7.86
200512,9.78,200512,11.42,200512,9.51,200512,8.02
200511,9.67,200511,11.5,200511,9.37,200511,8.16
200510,10.13,200510,11.6,200510,9.73,200510,8.67
200509,10.13,200509,11.66,200509,9.52,200509,8.25
200508,9.82,200508,11.47,200508,9.32,200508,7.61
200507,9.49,200507,11.29,200507,8.85,200507,7.1
200506,9.19,200506,11.21,200506,8.63,200506,6.89
200505,8.51,200505,10.72,200505,8.34,200505,6.46
200504,8.23,200504,10.15,200504,8.21,200504,6.45
200503,8.13,200503,10.05,200503,8.18,200503,6.22
200502,7.95,200502,9.5,200502,8.04,200502,6.06
200501,7.71,200501,9.15,200501,7.88,200501,5.85
200412,7.66,200412,9.24,200412,7.7,200412,5.85
200411,7.76,200411,9.37,200411,7.94,200411,5.97
200410,7.71,200410,9.57,200410,7.51,200410,5.81
200409,8.34,200409,10.32,200409,7.99,200409,5.93
200408,8.85,200408,10.71,200408,8.48,200408,6.36
200407,8.58,200407,10.48,200407,8.24,200407,6.04
200406,8.55,200406,10.44,200406,8.25,200406,6.24
200405,7.86,200405,9.76,200405,7.8,200405,5.94
200404,7.52,200404,9.39,200404,7.77,200404,5.71
200403,7.27,200403,8.93,200403,7.58,200403,5.47
200402,7.24,200402,8.55,200402,7.49,200402,5.52
200401,7.31,200401,8.61,200401,7.63,200401,5.52
200312,6.87,200312,8.38,200312,7.32,200312,4.92
200311,6.89,200311,8.59,200311,7.38,200311,4.97
200310,7.13,200310,8.93,200310,7.45,200310,5.16
200309,7.65,200309,9.52,200309,7.64,200309,5.2
200308,8.13,200308,9.89,200308,8.08,200308,5.46
200307,8.38,200307,9.97,200307,8.6,200307,5.73
200306,8.28,200306,10.07,200306,8.66,200306,5.55
200305,7.62,200305,9.35,200305,8.06,200305,5.23
200304,7.26,200304,9.03,200304,7.7,200304,5.35
200303,7.55,200303,9.02,200303,8.19,200303,5.59
200302,6.94,200302,8.11,200302,7.34,200302,5.24
200301,6.62,200301,7.71,200301,7.21,200301,4.8
200212,6.54,200212,8.07,200212,7.03,200212,4.41
200211,6.19,200211,7.44,200211,6.73,200211,4.35
200210,6.29,200210,7.51,200210,6.58,200210,4.59
200209,6.45,200209,8.04,200209,6.65,200209,3.94
200208,6.73,200208,8.07,200208,6.97,200208,4.53
200207,6.98,200207,8.49,200207,6.96,200207,4.81
200206,6.91,200206,8.5,200206,7.19,200206,4.1
200205,6.32,200205,8.15,200205,6.47,200205,4.43
200204,6.53,200204,7.98,200204,6.82,200204,4.97
200203,6.64,200203,7.79,200203,7.5,200203,5
200202,7.06,200202,7.98,200202,7.88,200202,5.57
200201,6.73,200201,8.11,200201,6.95,200201,5.03
200112,6.93,200112,8.23,200112,7.53,200112,5
200111,6.92,200111,8.4,200111,7.61,200111,4.95
200110,7.38,200110,9.11,200110,7.61,200110,5.18
200109,7.65,200109,9.27,200109,7.53,200109,5.32
200108,8,200108,9.53,200108,7.84,200108,5.55
200107,7.98,200107,9.55,200107,7.88,200107,5.65
200106,7.9,200106,9.63,200106,8,200106,5.65
200105,7.34,200105,8.91,200105,7.96,200105,5.38
200104,7.04,200104,8.52,200104,7.83,200104,5.1
200103,7.02,200103,8.39,200103,7.83,200103,5.1
200102,6.91,200102,8.02,200102,7.61,200102,5.11
200101,6.9,200101,7.68,200101,7.65,200101,5.12
